iter	RMSE
0	102.935254
1	99.9911682
2	96.58235358
3	93.62144779
4	90.76081593
5	88.17216629
6	85.97076608
7	83.88892535
8	82.47287041
9	80.93572587
10	79.07619302
11	77.9778364
12	76.55342744
13	75.34798095
14	74.53430905
15	73.62602056
16	73.28015857
17	71.94872908
18	71.31035449
19	70.73665527
20	70.21913497
21	69.54442232
22	68.5744849
23	68.24967442
24	67.63732859
25	66.87915232
26	66.47568794
27	65.91869479
28	65.45638348
29	64.76889376
30	64.59965891
31	64.21114615
32	63.487837
33	62.7535168
34	62.24430469
35	61.77262741
36	61.47065389
37	60.7869454
38	60.15169204
39	59.71087958
40	59.22834221
41	58.90026442
42	58.61711343
43	58.35801402
44	58.03174234
45	57.41535239
46	57.08413799
47	56.85940681
48	56.58441486
49	55.88240602
50	55.27185119
51	54.74415521
52	54.16980435
53	53.73736611
54	53.4241812
55	53.05983673
56	52.29166869
57	51.89836311
58	51.46154666
59	51.19145836
60	50.93582726
61	50.5163794
62	50.26215591
63	50.04329992
64	49.78863051
65	49.56005797
66	49.36892204
67	49.17744156
68	49.03181519
69	48.50968997
70	47.98198212
71	47.76957406
72	47.31674424
73	46.79270521
74	46.59828688
75	46.06038403
76	45.85218363
77	45.6327108
78	45.13760069
79	44.98103001
80	44.55942779
81	44.38770994
82	43.82088589
83	43.68451872
84	43.47377999
85	43.11273623
86	42.80568613
87	42.6673283
88	42.49982199
89	41.93185622
90	41.78433239
91	41.59411756
92	41.2523781
93	40.83452024
94	40.69426997
95	40.56786825
96	40.06233133
97	39.90130824
98	39.78744534
99	39.38524233
100	39.22713184
101	38.83369324
102	38.7084779
103	38.3602843
104	38.19231325
105	37.91461837
106	37.64851564
107	37.53345467
108	37.32089352
109	37.21681535
110	37.08978148
111	36.83822517
112	36.64365162
113	36.54481695
114	36.39538693
115	36.30060926
116	36.07553586
117	35.77234356
118	35.5672109
119	35.43616227
120	35.3427733
121	35.07671569
122	34.97994
123	34.71899008
124	34.58514366
125	34.49722931
126	34.37243505
127	34.14739024
128	33.96374472
129	33.83823751
130	33.6408004
131	33.51944953
132	33.40372937
133	33.3194388
134	33.2363001
135	33.05494915
136	32.97013011
137	32.89241916
138	32.77397459
139	32.66352576
140	32.58827554
141	32.496725
142	32.42053585
143	32.22720405
144	32.12699247
145	31.96760036
146	31.86391938
147	31.79266989
148	31.72432958
149	31.57466301
150	31.4806505
151	31.21597809
152	31.14877476
153	31.02651414
154	30.96196463
155	30.87371384
156	30.7495667
157	30.55026435
158	30.31770445
159	30.23007041
160	30.10378784
161	30.04008048
162	29.97878307
163	29.88160986
164	29.82193455
165	29.62533711
166	29.54652028
167	29.48751274
168	29.3020648
169	29.2449988
170	29.07627347
171	28.99354151
172	28.93978165
173	28.85521477
174	28.80102448
175	28.75002605
176	28.61296639
177	28.56297448
178	28.44224084
179	28.28453175
180	28.23656104
181	28.1583147
182	27.9835152
183	27.86522793
184	27.78937806
185	27.74019745
186	27.69245171
187	27.6101106
188	27.56332134
189	27.45494663
190	27.40887799
191	27.24636295
192	27.20489245
193	27.11810265
194	27.04655744
195	27.00295182
196	26.86159336
197	26.71180481
198	26.66722111
199	26.59615007
200	26.53447222
201	26.46886385
202	26.41394641
203	26.33421727
204	26.200544
205	26.15739372
206	26.09917428
207	25.99849948
208	25.93082566
209	25.88544875
210	25.78543994
211	25.74771359
212	25.70514211
213	25.66258112
214	25.62162067
215	25.58140063
216	25.54257963
217	25.48610858
218	25.36257591
219	25.26538627
220	25.22585995
221	25.16591407
222	25.12688612
223	25.08916727
224	24.98641359
225	24.93325724
226	24.88739104
227	24.80294597
228	24.76873301
229	24.72982087
230	24.69258318
231	24.65664861
232	24.60523604
233	24.47759215
234	24.44121038
235	24.39324322
236	24.29896555
237	24.26356554
238	24.17581716
239	24.14116226
240	24.11020152
241	24.05298713
242	23.97720615
243	23.94205254
244	23.89631198
245	23.85832627
246	23.74934452
247	23.71475815
248	23.52221115
249	23.48766579
250	23.45422726
251	23.40209579
252	23.36880376
253	23.28653357
254	23.25413172
255	23.09055744
256	23.05773034
257	23.00537907
258	22.92424394
259	22.89468552
260	22.82356397
261	22.72247535
262	22.68929231
263	22.64325281
264	22.61102484
265	22.52255289
266	22.44187219
267	22.34776883
268	22.26144518
269	22.22954237
270	22.18391174
271	22.15177999
272	22.12027325
273	22.01688304
274	21.98562122
275	21.95544602
276	21.91237442
277	21.81007086
278	21.73267809
279	21.70063497
280	21.63211169
281	21.56839188
282	21.48012287
283	21.44938111
284	21.4176489
285	21.37375453
286	21.32384557
287	21.29578708
288	21.23160285
289	21.17409946
290	21.14690346
291	21.11830825
292	21.08924637
293	21.06028823
294	21.03134207
295	20.96561632
296	20.89523173
297	20.8677145
298	20.83023672
299	20.7854076
300	20.75805167
301	20.69912046
302	20.63041639
303	20.60546494
304	20.57785935
305	20.53011361
306	20.43148237
307	20.39338472
308	20.366707
309	20.33998426
310	20.25345892
311	20.227557
312	20.20079226
313	20.16656818
314	20.10616161
315	20.07958068
316	20.0441195
317	20.00920547
318	19.983435
319	19.95829088
320	19.88207479
321	19.85670429
322	19.83183814
323	19.80755195
324	19.72288066
325	19.69812882
326	19.66069442
327	19.6364429
328	19.57636181
329	19.55203474
330	19.52867475
331	19.47868382
332	19.41363693
333	19.37746496
334	19.31698583
335	19.29307883
336	19.27050161
337	19.21893741
338	19.1474066
339	19.09905334
340	19.05043102
341	19.00193192
342	18.97824628
343	18.95598147
344	18.91339066
345	18.89018718
346	18.86808748
347	18.81904856
348	18.7877753
349	18.76451954
350	18.74204093
351	18.6702262
352	18.64738435
353	18.61684268
354	18.59588639
355	18.54785478
356	18.50239635
357	18.48001872
358	18.4466422
359	18.42489496
360	18.40317839
361	18.36056766
362	18.33153843
363	18.27069583
364	18.24895209
365	18.22867572
366	18.20776532
367	18.18813361
368	18.15899879
369	18.10781398
370	18.08594219
371	18.0189513
372	17.97820234
373	17.95757971
374	17.91375021
375	17.89334682
376	17.83472908
377	17.81533242
378	17.76243768
379	17.72003231
380	17.69950478
381	17.67932277
382	17.65104112
383	17.62033199
384	17.57912595
385	17.55892745
386	17.54009252
387	17.52031494
388	17.47789519
389	17.45195624
390	17.42612741
391	17.40634016
392	17.38811263
393	17.31634583
394	17.27770887
395	17.22797379
396	17.20829495
397	17.17659047
398	17.15490443
399	17.13565806
400	17.10211998
401	17.08413694
402	17.06523339
403	17.03707946
404	16.99928707
405	16.92429961
406	16.9053358
407	16.86910219
408	16.85035241
409	16.81159698
410	16.79279032
411	16.77450557
412	16.75615004
413	16.73793649
414	16.72119658
415	16.69308221
416	16.6748697
417	16.65073984
418	16.63226413
419	16.61396848
420	16.59614359
421	16.54008319
422	16.43579722
423	16.41952812
424	16.40181928
425	16.38419409
426	16.36823173
427	16.31124152
428	16.26806078
429	16.24078527
430	16.20849198
431	16.16163736
432	16.08596187
433	16.06841839
434	16.03173374
435	15.98884928
436	15.97135973
437	15.94500305
438	15.92776384
439	15.88856836
440	15.83357241
441	15.8177667
442	15.80064305
443	15.78355003
444	15.73830442
445	15.71252948
446	15.69522373
447	15.6639351
448	15.61350849
449	15.59657737
450	15.57991788
451	15.55455062
452	15.5395404
453	15.52295256
454	15.47157419
455	15.45467361
456	15.42671159
457	15.31830224
458	15.29032813
459	15.26045822
460	15.2441186
461	15.22965324
462	15.21363239
463	15.18055485
464	15.16439777
465	15.1315392
466	15.1074491
467	15.07817156
468	15.06234667
469	15.046761
470	15.03056533
471	15.01667611
472	15.00127037
473	14.955681
474	14.94031091
475	14.9167167
476	14.90299241
477	14.88944876
478	14.79425424
479	14.76985345
480	14.7540263
481	14.71937474
482	14.70409163
483	14.67499673
484	14.64847855
485	14.62590631
486	14.59766733
487	14.58254393
488	14.56751208
489	14.53533969
490	14.52205178
491	14.50721378
492	14.49249178
493	14.47770381
494	14.46318513
495	14.44871525
496	14.43432219
497	14.4198428
498	14.39783352
499	14.3694817
500	14.33207583
501	14.31780983
502	14.30360374
503	14.28195175
504	14.24183682
505	14.19295134
506	14.17872774
507	14.1523029
508	14.13798421
509	14.11697036
510	14.10298591
511	14.08886938
512	14.05445789
513	14.04038609
514	14.02643583
515	14.01276993
516	13.99919879
517	13.97839157
518	13.96470588
519	13.94104178
520	13.91492945
521	13.8889266
522	13.87524603
523	13.84919013
524	13.83555506
525	13.82220198
526	13.80161656
527	13.75661533
528	13.74309694
529	13.72970326
530	13.7164059
531	13.7031673
532	13.69005198
533	13.66976759
534	13.62289962
535	13.59152608
536	13.54593421
537	13.53284198
538	13.51971474
539	13.50668529
540	13.49379253
541	13.48099125
542	13.46108502
543	13.43755565
544	13.38797803
545	13.35450283
546	13.34263285
547	13.32998074
548	13.31701226
549	13.29730985
550	13.28464902
551	13.25971669
552	13.24800799
553	13.22903039
554	13.21137826
555	13.16824843
556	13.15565178
557	13.12714551
558	13.11476938
559	13.10349378
560	13.06647806
561	13.02429897
562	12.99977251
563	12.98092279
564	12.93601033
565	12.91434416
566	12.90198092
567	12.8697719
568	12.85734034
569	12.84514277
570	12.83307
571	12.80710728
572	12.79049447
573	12.77829359
574	12.74943175
575	12.73729598
576	12.72504797
577	12.71319711
578	12.68967735
579	12.67777722
580	12.65954097
581	12.64787596
